Symbol,Description,Price,Price - Currency,"Dividend yield %, Trailing 12 months","Dividends per share, Annual","Dividends per share, Annual - Currency",Sector
SPRB,"Spruce Biosciences, Inc.",54.26,USD,0,0,USD,Health technology
BENF,Beneficient,4.08,USD,0,0,USD,Finance
ICCC,ImmuCell Corporation,6.4,USD,0,0,USD,Health technology
DSWL,"Deswell Industries, Inc.",3.61,USD,5.54016620498615,0.2,USD,Producer manufacturing
LRDC,"Laredo Oil, Inc",0.74,USD,0,0,USD,Energy minerals
PVL,Permianville Royalty Trust,1.75,USD,6.95402298850575,0.0855,USD,Miscellaneous
GRAN,Grande Group Limited,2.3001,USD,0,,,Commercial services
OTH,Off The Hook YS Inc.,2.41,USD,0,,,Retail trade
CHEV,Charging Robotics Inc.,5,USD,0,0,USD,Distribution services
VRDR,"Verde Resources, Inc.",0.044,USD,0,0,USD,Non-energy minerals
RGS,Regis Corporation,22.83,USD,0,0,USD,Consumer services
IZEA,"IZEA Worldwide, Inc.",3.33,USD,0,0,USD,Commercial services
SELF,"Global Self Storage, Inc.",5.01,USD,5.76540755467197,0.29,USD,Finance
BEAT,"Heartbeam, Inc.",1.42,USD,0,0,USD,Health technology
UBXG,U-BX Technology Ltd.,1.8806,USD,0,0,USD,Commercial services
BAOB,"Baraboo Bancorporation, Inc. (THE)",6.25,USD,1.92,0.12,USD,Finance
OSCI,"Osceola Gold, Inc.",0.15,USD,0,0,USD,Non-energy minerals
AVAI,Avai Bio Inc,0.41,USD,0,0,USD,Technology services
PMVP,"PMV Pharmaceuticals, Inc.",1.065,USD,0,0,USD,Health technology
CEFC,Commercial National Financial Corp (MI),14.25,USD,3.92982456140351,,,Finance
EDRY,EuroDry Ltd.,19.98,USD,0,0,USD,Transportation
BSPA,"Ballston Spa Bancorp, Inc.",76,USD,1.72503920543649,1.32,USD,Finance
GENK,"GEN Restaurant Group, Inc.",1.71,USD,0,0,USD,Consumer services
WRLC,Windrock Ld Co.,449.99,USD,,,,Energy minerals
STBI,"Sturgis Bancorp, Inc.",23,USD,2.95652173913043,0.68,USD,Finance
PGNN,"Paragon Financial Solutions, Inc. (TN)",12.45,USD,0,0,USD,Finance
RWCB,Redwood Capital Bancorp (CA),29.5,USD,1.22033898305085,0.35,USD,Finance
AAME,Atlantic American Corporation,2.75,USD,0.72992700729927,0.02,USD,Finance
XTIA,"XTI Aerospace, Inc.",1.625,USD,0,0,USD,Technology services
HYFT,MindWalk Holdings Corp.,1.201,USD,0,0,USD,Health technology
CDIX,Cardiff Lexington Corporation,3.82,USD,0,0,USD,Health services
CVU,"CPI Aerostructures, Inc.",4.22,USD,0,0,USD,Electronic technology
COCH,"Envoy Medical, Inc.",0.7201,USD,0,0,USD,Health technology
AWCA,Awaysis Capital Inc.,0.1349,USD,0,0,USD,Finance
GMHS,Gamehaus Holdings Inc.,1.03,USD,0,0,USD,Finance
VKSC,"Viskase Companies, Inc.",0.5,USD,0,0,USD,Process industries
DTCX,"Datacentrex, Inc.",1.71,USD,0,0,USD,Technology services
CCBC,Chino Commercial Bancorp,17.1265,USD,0,0,USD,Finance
RDEXF,RPX Gold Inc.,0.148,USD,0,0,USD,Non-energy minerals
SLGB,Smart Logistics Global Limited,1.3409,USD,0,,,Transportation
BCHT,Birchtech Corp.,2.82125,USD,0,0,USD,Technology services
TVGN,Tevogen Bio Holdings Inc.,0.2723,USD,0,0,USD,Health technology
MGX,"Metagenomi Therapeutics, Inc.",1.46,USD,0,0,USD,Health technology
BWEN,"Broadwind, Inc.",2.36,USD,0,0,USD,Producer manufacturing
MDWK,"MDWerks, Inc.",0.24,USD,0,0,USD,Health services
NALG,North America Lithium and Gold Corporation,0.16,USD,0,0,USD,Non-energy minerals
LONA,"LeonaBio, Inc.",5.84,USD,0,0,USD,Health technology
BRIA,BrilliA Inc,2.1769,USD,,,,Distribution services
FSHP,Flag Ship Acquisition Corp.,10.8201,USD,0,0,USD,Finance
RITR,Reitar Logtech Holdings Limited,0.87,USD,0,0,USD,Finance
